lemma	pos	freq_ipm
а	conj	8198
а	intj	19.8
а	part	6.1
а	s	2.7
аа	intj	1.5
а-а	intj	17.8
ааа	intj	1.1
а-а-а	intj	6.7
а-а-а-а	intj	0.8
абажур	s	4.9
аббат	s	1.6
аббатство	s	0.9
аббревиатура	s	3.5
абвер	s	2.7
Абдулла	s.PROP	4.4
аберрация	s	0.7
абзац	s	10.2
абитуриент	s	4
абонемент	s	1.8
абонементный	a	0.4
абонент	s	10.6
абонентский	a	2.5
абордаж	s	0.5
абориген	s	5.8
аборт	s	8.3
абразивный	a	0.9
абракадабра	s	1
Абрам	s.PROP	4.1
Абрамов	s.PROP	3.7
Абрамович	s.PROP	10.8
абрек	s	1.3
абрикос	s	3.3
абрикосовый	a	1.2
абрис	s	1.1
абсент	s	1.4
абсолют	s	2.9
абсолютизация	s	0.6
абсолютизировать	v	0.5
абсолютизм	s	1.2
абсолютно	adv	88.2
абсолютность	s	0.4
абсолютный	a	42.3
абсорбент	s	0.4
абсорбция	s	0.9
абстрагирование	s	0.5
абстрагировать	v	0.4
абстрагироваться	v	1
абстрактно	adv	0.7
абстрактный	a	15.9
абстракционизм	s	0.6
абстракционист	s	0.6
абстракция	s	5.6
абсурд	s	9.1
абсурдно	adv	1.3
абсурдность	s	1.5
абсурдный	a	4.5
абсцесс	s	0.4
абсцисса	s	0.9
Абу	s.PROP	2.9
абхаз	s	0.7
абхазец	s	0.6
Абхазия	s.PROP	5.2
абхазский	a	2.1
абы	part	1.2
авангард	s	9.8
авангардизм	s	0.5
авангардист	s	1.6
авангардистский	a	0.6
авангардный	a	3.4
аванс	s	7.1
авансовый	a	1.4
авансцена	s	2.5
авантюра	s	5.5
авантюризм	s	1.2
авантюрист	s	4.1
авантюристка	s	0.6
авантюрный	a	2.3
аварийно-спасательный	a	1.2
аварийность	s	1.3
аварийный	a	12.5
авария	s	29.6
авва	s	1.3
Аввакум	s.PROP	1.8
авгиев	a	0.5
август	s	91
августейший	a	1.1
Августин	s.PROP	2.8
августовский	a	5.6
Авдеев	s.PROP	2.2
Авель	s.PROP	2.7
авеню	s	2.3
авиа	s	0.8
авиабаза	s	2.3
авиабилет	s	1.7
авиабомба	s	0.7
авиадвигатель	s	0.7
авиадиспетчер	s	0.7
авиазавод	s	0.6
авиакатастрофа	s	1.1
авиакомпания	s	10.9
авиаконструктор	s	0.9
авиакосмический	a	1.1
авиакрыло	s	0.7
авиалайнер	s	1.2
авиалиния	s	2.3
авианосец	s	3
авианосный	a	0.7
авиаотряд	s	0.4
авиаперевозка	s	1.1
авиаперевозчик	s	0.8
авиапредприятие	s	0.7
авиапром	s	0.8
авиапромышленность	s	0.5
авиарейс	s	0.6
авиасалон	s	1.5
авиастроение	s	0.8
авиастроитель	s	0.5
авиастроительный	a	1
авиатехник	s	1.1
авиатор	s	1.8
авиационно-космический	a	1.1
авиационный	a	28.6
авиация	s	38.8
авиетка	s	0.4
авионика	s	0.9
авитаминоз	s	1
авокадо	s	0.8
авось	part	6.5
авоська	s	4.9
Авраам	s.PROP	4.8
аврал	s	1.3
авральный	a	0.9
Аврора	s.PROP	5.2
австралиец	s	2.2
австралийский	a	5.6
Австралия	s.PROP	16.8
австриец	s	2.6
австрийский	a	8.3
Австрия	s.PROP	11.2
австро-венгерский	a	0.5
авто	s	6.3
автобаза	s	1.4
автобан	s	1.1
автобиографический	a	3
автобиография	s	4
автобус	s	64.8
автобусный	a	7.3
АвтоВАЗ	s.PROP	7.7
автовладелец	s	2.6
автовокзал	s	1
автоген	s	0.5
автогигант	s	0.5
автогонки	s	1.7
автогонщик	s	0.7
автогражданский	a	0.5
автограф	s	10.3
автодорога	s	2.7
автодорожный	a	0.6
автодром	s	3.7
автозавод	s	4.3
автозаводец	s	0.8
автозаводский	a	0.9
автозаправка	s	0.4
автозаправочный	a	0.7
автозапчасти	s	0.4
автоинспектор	s	0.9
автоинспекция	s	0.5
автокатастрофа	s	1.9
автоклав	s	0.8
автоколонна	s	1.2
автокомбинат	s	0.4
автокран	s	1.1
автолавка	s	0.5
автолюбитель	s	3
автомагистраль	s	1.4
автомастерская	s	0.6
автомат	s	56
автоматизация	s	8.5
автоматизированный	a	11.2
автоматизировать	v	2.1
автоматизм	s	1.6
автоматика	s	4.9
автоматически	adv	20
автоматический	a	24
автоматный	a	4.2
автоматчик	s	4.5
автомашина	s	10.4
автомеханик	s	0.5
автомобилестроение	s	1.6
автомобилестроитель	s	0.5
автомобилизация	s	0.4
автомобилист	s	3.8
автомобиль	s	156.9
автомобильный	a	34
автомобильчик	s	0.8
автономия	s	8.9
автономно	adv	1.4
автономность	s	1.1
автономный	a	22.1
автоответчик	s	2.9
автопарк	s	1.3
автопилот	s	7.4
автопоезд	s	0.9
автопортрет	s	1.8
автопредприятие	s	0.4
автопроизводитель	s	1.5
автопром	s	1.8
автор	s	262.1
авторадио	s	0.4
авторемонтный	a	0.8
автореферат	s	2.3
авторизация	s	0.5
авторизованный	a	0.7
авторитаризм	s	1.1
авторитарность	s	0.4
авторитарный	a	3.7
авторитет	s	37.1
авторитетнейший	a	0.5
авторитетно	adv	1.9
авторитетность	s	0.5
авторитетный	a	12.1
авторский	a	27.1
авторство	s	4.6
авторучка	s	3.8
авторынок	s	0.7
автосалон	s	4.3
автосамосвал	s	1.7
автосервис	s	2.1
автослесарь	s	0.5
автоспорт	s	2.8
автоспортивный	a	0.5
автостанция	s	0.4
автостоп	s	0.8
автостоянка	s	3.4
автострада	s	2.5
автострахование	s	0.4
автотранспорт	s	5.4
автотранспортный	a	3.1
автотрасса	s	0.7
автофургон	s	0.6
автохозяйство	s	0.4
автоцентр	s	0.5
автоцистерна	s	0.4
автошкола	s	0.8
ага	intj	40.2
ага	part	4.3
ага	s	0.9
агар	s	0.4
агарозный	a	0.6
агат	s	0.8
Агата	s.PROP	2
агенс	s	0.5
агент	s	39.2
агентский	a	1
агентство	s	49.1
агентура	s	3.4
агентурный	a	2.4
агинский	a	0.4
агитатор	s	3.2
агитационный	a	2.4
агитация	s	8.7
агитировать	v	3
агитка	s	0.5
агитпроп	s	0.9
агитпункт	s	0.4
агломерат	s	0.4
агломерация	s	0.7
агнец	s	2.5
агностик	s	0.5
агонизировать	v	0.5
агония	s	3.1
аграрий	s	3.3
аграрный	a	10
агрегат	s	18.5
агрегатный	a	1
агрегирование	s	0.5
агрегированный	a	0.6
агрессивно	adv	3
агрессивность	s	4.2
агрессивный	a	15.9
агрессия	s	13.1
агрессор	s	3.5
агролесомелиоративный	a	0.4
агроном	s	5.4
агрономический	a	0.7
агрономия	s	0.4
агропром	s	0.4
агропромбанк	s	0.5
агропромышленный	a	3.7
агротехника	s	0.6
агротехнический	a	0.8
агрофирма	s	0.8
агрохолдинг	s	0.5
агуша	s	0.4
ад	s	23.7
Ада	s.PROP	4.3
адажио	s	0.4
Адам	s.PROP	10.5
адамантан	s	0.5
адамов	a	0.4
Адамович	s.PROP	2.4
адаптационный	a	0.6
адаптация	s	12.6
адаптер	s	0.6
адаптивность	s	0.5
адаптивный	a	2.4
адаптированный	a	2.3
адаптировать	v	3.8
адаптироваться	v	4
адвентист	s	0.4
адвокат	s	49.3
адвокатский	a	7.1
адвокатура	s	2.4
адгезия	s	1.1
аддитивный	a	0.7
адекватно	adv	5.2
адекватность	s	2.7
адекватный	a	17.8
аденовирус	s	1.2
аденоид	s	0.4
аденома	s	0.5
адепт	s	2.8
административно	adv	0.8
административно-командный	a	0.6
административно-правовой	a	0.7
административно-процессуальный	a	0.5
административно-территориальный	a	1.8
административно-хозяйственный	a	0.5
административный	a	88.8
администратор	s	15.6
администраторша	s	0.7
администрация	s	98.3
администрирование	s	2.4
адмирал	s	13.5
адмиралтейский	a	4
адмиралтейство	s	2.8
адмиральский	a	0.9
адов	a	1
Адольф	s.PROP	3.6
адреналин	s	2.8
адрес	s	92.7
адресат	s	6.7
адресный	a	4.1
адресовать	v	11.1
адресоваться	v	1.6
адресок	s	0.9
адриатический	a	0.5
адский	a	6.6
адсорбат	s	0.5
адсорбировать	v	1.7
адсорбционный	a	0.8
адсорбция	s	1.8
адъювант	s	0.6
адъютант	s	6.7
адюльтер	s	1.2
аж	part	22.6
ажиотаж	s	4
ажиотажный	a	0.4
ажур	s	1
ажурный	a	4.2
аз	s	4.8
аз	spro	0.9
азалия	s	1.2
азарт	s	11.8
азартно	adv	3.5
азартный	a	5.8
азбука	s	3.7
азбучный	a	0.8
азер	s	0.4
Азербайджан	s.PROP	12.3
азербайджанец	s	5.9
азербайджанский	a	6
азиат	s	2.3
азиатский	a	10.3
азиатско-тихоокеанский	a	1.6
азимут	s	1.6
Азия	s.PROP	32.9
азовский	a	1.6
азорский	a	0.4
азот	s	7.9
азотный	a	1.4
АЗС	s.PROP	1.7
аи	s	1.4
Аида	s.PROP	1.9
аир	s	0.6
аист	s	3.1
АИФ	s.PROP	3
ай	intj	11.6
ай-ай-ай	intj	0.7
айва	s	0.9
айда	intj	1.8
айкидо	s	0.8
айсберг	s	4.2
ай-яй-яй	intj	1
академгородок	s	1.9
академизм	s	0.8
академик	s	49.2
академический	a	19.6
академичный	a	0.4
академия	s	70.3
акафист	s	1.2
акация	s	4.1
акваланг	s	1.9
аквалангист	s	0.9
аквапарк	s	0.9
акварель	s	4
акварельный	a	1.4
аквариум	s	8.3
аквариумный	a	0.6
акватория	s	4.2
акведук	s	0.4
аки	conj	1.2
Акимов	s.PROP	1.8
акклиматизация	s	1
акклиматизироваться	v	0.5
аккомпанемент	s	3.7
аккомпаниатор	s	1
аккомпанировать	v	2.5
аккорд	s	7
аккордеон	s	4.2
аккордеонист	s	0.5
аккредитация	s	2.1
аккредитив	s	3.8
аккредитивный	a	0.5
аккредитовать	v	1.9
аккумулирование	s	0.4
аккумулировать	v	2.1
аккумулироваться	v	0.6
аккумулятор	s	5.1
аккумуляторный	a	1.6
аккумуляция	s	0.9
аккурат	adv	2.6
аккурат	s	1
аккуратненький	a	1.1
аккуратненько	adv	0.7
аккуратно	adv	32.6
аккуратность	s	2.4
аккуратный	a	16.9
акмеизм	s	0.8
акмеист	s	0.8
аконит	s	1
акр	s	1
акрил	s	0.9
акриловый	a	1
акробат	s	2.5
акробатика	s	1.1
акробатический	a	1.3
акрополь	s	0.6
акростих	s	0.4
аксакал	s	0.8
Аксаков	s.PROP	2.5
акселератор	s	0.8
акселерация	s	0.8
аксель	s	0.8
аксельбант	s	0.7
Аксененко	s.PROP	2.1
Аксенов	s.PROP	6.8
аксессуар	s	5.5
аксиологический	a	0.5
аксиома	s	8.5
аксиоматический	a	0.6
аксон	s	0.4
акт	s	113.6
актант	s	2.3
актантный	a	0.5
актер	s	114.4
актерка	s	1
актерский	a	22.8
актерство	s	1
актив	s	32.7
активатор	s	0.7
активация	s	3.7
активизация	s	7.3
активизировать	v	4.9
активизироваться	v	3.7
активированный	a	1.6
активировать	v	1.3
активист	s	6.3
активистка	s	1.2
активнейший	a	0.7
активно	adv	52.6
активность	s	58.5
активный	a	85.7
актинидия	s	0.4
актовый	a	3
актор	s	0.4
актриса	s	40.4
актуализация	s	2.1
актуализировать	v	1.2
актуализироваться	v	0.8
актуально	adv	1.1
актуальность	s	8
актуальный	a	34.7
акула	s	9.3
акулий	a	0.6
акустика	s	2.2
акустический	a	5.6
акушер	s	0.8
акушерка	s	1.7
акушерский	a	0.4
акушерство	s	0.7
акцент	s	26.2
акцентирование	s	0.5
акцентировать	v	3.9
акцентироваться	v	0.6
акцентуация	s	0.5
акцепт	s	1
акцептор	s	0.6
акциз	s	5.3
акцизный	a	1.4
акционер	s	36.3
акционерный	a	17.6
акционирование	s	1.4
акционировать	v	0.5
акция	s	98.5
акын	s	0.5
алайский	a	0.6
алан	s	3.1
Алания	s.PROP	1.7
албанец	s	2.1
Албания	s.PROP	2.3
албанский	a	2
алгебра	s	3.9
алгебраический	a	2.1
алгоритм	s	26.5
алгоритмический	a	1.7
але	intj	2.6
але	part	1.2
алебарда	s	0.6
алебастровый	a	0.4
Алевтина	s.PROP	5.9
Алекперов	s.PROP	1.7
Алекс	s.PROP	4.7
Александр	s.PROP	237.8
Александра	s.PROP	25.2
александрийский	a	3
александринский	a	1.1
александрит	s	0.4
Александрия	s.PROP	1.8
Александров	s.PROP	12.6
Александрович	s.PROP	43
Александровна	s.PROP	22.1
александровский	a	3
александро-невский	a	0.9
Алексеев	s.PROP	9.1
Алексеевич	s.PROP	52.4
Алексеевна	s.PROP	12
алексеевский	a	1.2
Алексей	s.PROP	115.9
Алексий	s.PROP	11.3
Ален	s.PROP	3.2
Алена	s.PROP	20.4
аленький	a	0.4
алеть	v	1.3
алеут	s	0.4
Алеша	s.PROP	31.1
Алешин	s.PROP	3.7
Алешка	s.PROP	4.2
Алжир	s.PROP	2.4
алжирец	s	0.4
алжирский	a	0.8
али	conj	2.3
алиби	s	2.6
Алиев	s.PROP	3.2
Алик	s.PROP	23.2
алименты	s	6
Алина	s.PROP	17.5
Алиса	s.PROP	9.8
алия	s	1
алкалоид	s	0.6
алкать	v	1.3
алкаш	s	4.8
алкоголизм	s	5.8
алкоголик	s	10
алкоголичка	s	0.8
алкоголь	s	20.4
алкогольный	a	11.4
Алла	s.PROP	30.8
аллантоисный	a	0.6
аллах	s	8.5
алле	intj	0.7
аллегорический	a	1.2
аллегория	s	2.3
аллейка	s	0.8
Аллен	s.PROP	2.9
аллерген	s	0.9
аллергик	s	0.5
аллергический	a	2.1
аллергия	s	7
аллея	s	16
аллигатор	s	0.5
аллилуйя	adv	0.4
аллитерация	s	0.5
алло	intj	9.6
аллюзия	s	1.8
аллюр	s	0.8
Алма-Ата	s.PROP	5.5
алма-атинский	a	0.8
алмаз	s	16.7
алмазный	a	5.1
алмазоносный	a	0.4
алогичный	a	0.4
алоэ	s	1
Алтай	s.PROP	5.5
алтайский	a	5.3
алтарный	a	1
алтарь	s	9.2
алтын	s	0.5
алфавит	s	5.8
алфавитный	a	1.2
алхимик	s	1.7
алхимический	a	1.1
алхимия	s	1.2
алчно	adv	0.5
алчность	s	1.5
алчный	a	2
алый	a	13.2
алыча	s	0.8
аль	conj	2.1
аль	part	0.4
альбатрос	s	1.2
Альберт	s.PROP	8.6
альбинос	s	0.7
альбом	s	23.7
альбомный	a	0.4
альбомчик	s	0.6
альбумин	s	0.8
альвеола	s	0.5
альвеолярный	a	0.4
альдегид	s	1.7
Аль-Каида	s.PROP	1.9
альков	s	0.4
альма-матер	s	0.4
альманах	s	4.7
альпийский	a	4.2
альпинарий	s	0.7
альпинизм	s	1.1
альпинист	s	4.3
альпинистский	a	1
Альпы	s.PROP	3
альт	s	5
альтернатива	s	14.4
альтернативный	a	19.8
альтернативщик	s	0.9
альтист	s	1.1
альтовый	a	0.4
альтруизм	s	1
альтруист	s	0.5
альтруистический	a	0.4
альфа	a	1.6
альфа	s	5.2
Альфа-Банк	s.PROP	2.2
Альфонс	s.PROP	2.7
Альфред	s.PROP	4.5
альцгеймер	s	0.6
альянс	s	10.1
алюминиевый	a	15.7
алюминий	s	10.9
алюмосиликат	s	0.4
Аля	s.PROP	21.3
а-ля	pr	2.1
аляповатый	a	1
Аляска	s.PROP	3.4
Амазонка	s.PROP	2.8
амазонский	a	0.4
амальгама	s	0.5
амба	adv	1
амбал	s	2.1
амбар	s	4.9
амбарный	a	2
амбивалентность	s	0.8
амбивалентный	a	0.8
амбициозность	s	0.6
амбициозный	a	5
амбиция	s	13.2
амбразура	s	2.3
амброзия	s	0.5
амбулатория	s	1.2
амбулаторно	adv	0.4
амбулаторный	a	1
амвон	s	1
Амвросий	s.PROP	1.9
амеба	s	0.8
Америка	s.PROP	121.9
американец	s	78.8
американизм	s	0.7
американка	s	4.4
американский	a	186.5
аметист	s	1.3
амиксин	s	1.1
амин	s	3.9
аминокислота	s	4.7
аминокислотный	a	4.1
аминь	adv	0.8
аминь	part	4.6
аммиак	s	2.8
аммиачный	a	0.8
аммоний	s	1.5
амнезия	s	0.8
амнистировать	v	1
амнистия	s	8.2
амок	s	0.5
аморализм	s	0.4
аморалка	s	0.4
аморальность	s	0.7
аморальный	a	3.3
амортизатор	s	2.2
амортизационный	a	1.2
амортизация	s	2.8
амортизировать	v	0.6
аморфный	a	2.9
ампер	s	2.2
амперметр	s	0.4
ампир	s	2.1
ампирный	a	0.7
амплитуда	s	4.6
амплитудный	a	0.4
амплификация	s	2.3
амплифицировать	v	1
амплуа	s	3.7
ампула	s	3.7
ампутация	s	1.2
ампутировать	v	1.4
амрита	s	0.5
Амстердам	s.PROP	4.2
амстердамский	a	0.5
амулет	s	3.7
амуниция	s	1.7
амур	s	3.9
амурный	a	0.7
амурский	a	2.9
амфибия	s	0.7
амфитеатр	s	1.8
амфора	s	1.4
ан	conj	8.6
АН	s.PROP	11.8
анабиоз	s	1.3
анаболический	a	0.6
анаграмма	s	0.9
анадырский	a	0.4
анаконда	s	0.4
анализ	s	157
анализатор	s	3.1
анализировать	v	20.8
анализироваться	v	3.5
аналитик	s	18.1
аналитика	s	1.2
аналитически	adv	0.5
аналитический	a	18.1
аналог	s	15.9
аналогично	adv	4.9
аналогичный	a	46.7
аналогия	s	14.6
аналоговый	a	1.8
аналой	s	0.6
анальгин	s	1.1
анальный	a	2.4
анамнез	s	0.7
ананас	s	3.6
Ананд	s.PROP	4.9
анархизм	s	0.9
анархист	s	2.7
анархический	a	0.8
анархия	s	2.7
Анастасия	s.PROP	10
Анатолий	s.PROP	71.8
Анатольевич	s.PROP	9.1
Анатольевна	s.PROP	5.8
анатом	s	0.6
анатомический	a	3.4
анатомичка	s	0.4
анатомия	s	4.9
анафема	s	1.5
анахронизм	s	1.8
анаша	s	1.1
анаэробный	a	0.7
ангажемент	s	0.4
ангажированность	s	0.7
ангажированный	a	0.9
ангажировать	v	0.6
ангар	s	3.5
Ангара	s.PROP	4.7
Ангарск	s.PROP	1.6
ангарский	a	1.1
ангел	s	32.4
Ангелина	s.PROP	2.4
ангелочек	s	1
ангел-хранитель	s	1.5
ангельский	a	3.9
ангидрит	s	0.4
ангина	s	2.7
английский	a	108.4
англиканский	a	0.4
англичанин	s	30.1
англичанка	s	2.5
Англия	s.PROP	47.6
англо-американский	a	1.5
англо-русский	a	0.4
англосакс	s	0.6
англосаксонский	a	1.2
англоязычный	a	2.1
Ангола	s.PROP	2.9
ангольский	a	0.7
андеграунд	s	2
андерграунд	s	0.4
Андерсен	s.PROP	2.9
андерсеновский	a	0.5
Андерсон	s.PROP	2.1
Андре	s.PROP	3.2
Андреев	s.PROP	17.4
Андреевич	s.PROP	22.7
Андреевна	s.PROP	38.1
андреевский	a	1.4
Андрей	s.PROP	217.2
Андропов	s.PROP	10.3
Андрюха	s.PROP	7.3
Андрюша	s.PROP	10.2
анекдот	s	35
анекдотический	a	1.4
анекдотичный	a	0.4
анемичный	a	0.6
анемия	s	1
анестезиолог	s	1
анестезия	s	1.7
Анечка	s.PROP	5.4
Анжелика	s.PROP	2.2
анизотропия	s	1.2
анизотропный	a	0.5
аниматор	s	0.4
анимационный	a	1.4
анимация	s	1.4
анин	a	1
анион	s	0.7
анис	s	0.5
Анисимов	s.PROP	3.2
аничков	a	0.4
анкета	s	14.4
анкетирование	s	1.1
анкетный	a	2
анклав	s	1.2
Анна	s.PROP	107.4
анналы	s	1.5
аннексия	s	0.5
Анненков	s.PROP	1.9
Анненский	s.PROP	3.3
аннигиляция	s	0.5
аннотация	s	1.9
аннулирование	s	1.3
аннулировать	v	2.1
Аннушка	s.PROP	6.4
анод	s	1.2
анодный	a	0.7
аномалия	s	6.9
аномально	adv	1
аномальный	a	2.9
аномия	s	0.5
аноним	s	1.2
анонимка	s	1.5
анонимно	adv	1.5
анонимность	s	1.5
анонимный	a	6.3
анонс	s	1.3
анонсировать	v	1.4
Анри	s.PROP	2.1
ансамблевый	a	0.4
ансамбль	s	21.7
антагонизм	s	1.6
антагонист	s	1
антагонистический	a	0.6
Антарктида	s.PROP	7.7
антарктический	a	1.6
антенна	s	8.5
антенный	a	1.3
антиалкогольный	a	0.9
антиамериканизм	s	0.7
антиамериканский	a	1.1
антибактериальный	a	0.7
антибиотик	s	4.7
антивещество	s	0.7
антивирусный	a	2.2
антивоенный	a	1.2
антиген	s	9.7
антигенность	s	0.4
антигенный	a	7.3
антигерой	s	0.4
антигитлеровский	a	0.8
антиглобалист	s	1.1
антигосударственный	a	0.7
антидемпинговый	a	1.1
антидепрессант	s	0.5
антидопинговый	a	0.6
антизападный	a	0.5
антиимпериалистический	a	0.4
антиквар	s	1.5
антиквариат	s	3.2
антикварный	a	5.3
антикоммунизм	s	0.6
антикоммунист	s	0.8
антикоммунистический	a	1
антиконституционный	a	0.7
антикоррозийный	a	0.4
антикоррозионный	a	0.5
антикоррупционный	a	1
антикризисный	a	1.3
антикрыло	s	1.7
антилопа	s	1.2
антимикробный	a	0.6
антимир	s	0.7
антимонопольный	a	5.9
антинаркотический	a	1
антинародный	a	2.4
антинаучный	a	0.5
антинациональный	a	0.4
антиномия	s	0.8
антиобщественный	a	0.8
антиоксидант	s	0.9
антиоксидантный	a	0.5
антиохийский	a	0.6
антипартийный	a	1
антипатия	s	2.5
антипод	s	2.4
антиправительственный	a	0.9
антипробуксовочный	a	0.4
антирабический	a	0.6
антирелигиозный	a	0.8
антироссийский	a	1
антирусский	a	1.1
антисанитария	s	0.4
антисанитарный	a	0.5
антисемит	s	4.7
антисемитизм	s	9.2
антисемитский	a	3.2
антисептик	s	0.8
антисептический	a	0.5
антисоветский	a	8.9
антисоветчик	s	1.1
антисоветчина	s	0.7
антисоциальный	a	0.6
антисталинист	s	0.4
антисталинский	a	0.7
антитеза	s	1.2
антитело	s	23.6
антитеррор	s	0.9
антитеррористический	a	6.1
антиутопия	s	0.7
антифашист	s	0.7
антифашистский	a	2
антифон	s	0.6
антифриз	s	0.5
антихрист	s	2.7
антихристианский	a	0.5
антицеллюлитный	a	0.5
античастица	s	0.5
античность	s	4.9
античный	a	14.5
антология	s	2.7
Антон	s.PROP	60.4
Антоний	s.PROP	9.3
Антонина	s.PROP	11.5
Антонио	s.PROP	2.7
Антонов	s.PROP	4.7
Антонович	s.PROP	6.1
антоновка	s	1
Антоновна	s.PROP	2.6
антоновский	a	0.8
антракт	s	5.3
антрацит	s	0.7
антрекот	s	0.5
антрепренер	s	0.8
антреприза	s	1.9
антресоли	s	2.3
антропный	a	0.6
антропогенный	a	3.9
антрополог	s	1
антропологический	a	2.4
антропология	s	2.9
антропоморфный	a	0.5
антураж	s	2.2
анус	s	0.6
анфас	adv	0.9
анфилада	s	1.5
анчар	s	0.4
анчоус	s	0.6
аншлаг	s	2.7
Анька	s.PROP	5.2
Анюта	s.PROP	5.3
анютин	a	0.8
Аня	s.PROP	37.5
АО	s.PROP	16
аорта	s	2.2
апартаменты	s	5.5
апартеид	s	0.8
апатит	s	1.5
апатичный	a	0.5
апатия	s	3
апач	s	0.5
апеллировать	v	3.4
апелляционный	a	8.5
апелляция	s	3.4
апельсин	s	7.6
апельсиновый	a	3.9
апеннинский	a	0.4
аперитив	s	1
апертура	s	0.6
апикальный	a	3.9
АПК	s.PROP	20.5
аплодировать	v	7.8
аплодисменты	s	19.6
апломб	s	1.2
апогей	s	2.4
апокалипсис	s	3.1
апокалипсический	a	0.5
апокалиптический	a	1.6
апокриф	s	1.3
апокрифический	a	0.6
аполитичность	s	0.5
аполитичный	a	1.4
Аполлон	s.PROP	5.8
апологет	s	1.8
апологетика	s	0.5
апологетический	a	0.4
апология	s	1.1
апоптоз	s	0.8
апостол	s	21.8
апостольский	a	2.3
апофеоз	s	3.3
аппарат	s	88.2
аппаратная	s	0.7
аппаратно-программный	a	0.6
аппаратный	a	5.4
аппаратура	s	18.6
аппаратурный	a	0.5
аппаратчик	s	1.6
аппендикс	s	1
аппендицит	s	2.1
аппетит	s	15.3
аппетитно	adv	1.1
аппетитный	a	2.4
аппликация	s	1.1
аппроксимация	s	0.7
апрель	s	86.2
апрельский	a	4.8
априори	adv	1.4
априорно	adv	0.5
априорный	a	2.6
апробация	s	1.6
апробированный	a	0.6
апробировать	v	1.8
апсида	s	0.4
аптека	s	15.1
аптекарский	a	1.7
аптекарь	s	1.6
аптечка	s	3.1
аптечный	a	3.4
апчхи	intj	0.4
ар	s	0.7
ара	s	0.4
араб	s	13.3
арабидопсис	s	0.4
арабо-израильский	a	1
арабский	a	20.5
аравийский	a	1.6
Аравия	s.PROP	5.1
арак	s	0.4
аральский	a	0.6
арамейский	a	0.8
аранжировать	v	0.4
аранжировка	s	1.8
арап	s	1
Арарат	s.PROP	1.8
арат	s	0.4
Арафат	s.PROP	5.6
арахис	s	0.7
арба	s	0.7
арбалет	s	1.2
Арбат	s.PROP	12.2
арбатский	a	3.7
арбидол	s	0.6
арбитр	s	5.4
арбитраж	s	5.5
арбитражно-процессуальный	a	0.4
арбитражный	a	54.8
арбовирус	s	0.7
арбовирусный	a	0.4
арбуз	s	9.1
арбузный	a	1.2
Арбузов	s.PROP	1.6
Аргентина	s.PROP	6.7
аргентинец	s	1.5
аргентинский	a	2.4
арго	s	0.7
аргон	s	0.9
аргонавт	s	0.5
аргумент	s	28.5
аргументация	s	3.7
аргументированно	adv	0.7
аргументированный	a	0.9
аргументировать	v	2.2
аргунский	a	0.5
аргус	s	0.6
ареал	s	3.7
арена	s	13.5
аренда	s	27.5
арендатор	s	8.1
арендный	a	6
арендовать	v	8.1
арендодатель	s	2.2
ареопаг	s	0.5
арест	s	46.5
арестант	s	5.8
арестантский	a	2.1
арестованный	s	5.8
арестовать	v	40.7
арестовывать	v	7.4
арестовываться	v	0.5
арзамасский	a	0.7
Ариадна	s.PROP	2.6
ариец	s	1.1
арий	s	0.6
арийский	a	1.3
Арина	s.PROP	4.5
аристократ	s	5.9
аристократизм	s	1.3
аристократический	a	4.3
аристократичный	a	0.6
аристократия	s	2.6
аристократка	s	1.1
аристотелевский	a	0.5
Аристотель	s.PROP	5.9
аритмия	s	1.4
арифметика	s	6.8
арифметический	a	3.6
арифмометр	s	0.9
ария	s	6.7
арка	s	12.9
аркада	s	0.7
Аркадий	s.PROP	27.3
аркадия	s	0.5
Аркадьевич	s.PROP	3.7
аркан	s	3.1
Арктика	s.PROP	6.8
арктический	a	3.9
арлекин	s	1
арлекино	s	0.4
армада	s	1.3
арманьяк	s	0.6
арматура	s	4.5
арматурный	a	0.5
армеец	s	2.4
армейский	a	23.3
Армен	s.PROP	3.8
Армения	s.PROP	12.4
армирование	s	0.4
армированный	a	0.5
армировать	v	0.7
армия	s	186.4
армяк	s	0.6
армянин	s	11
армянка	s	1
армянский	a	13.3
Арнольд	s.PROP	9
аромат	s	22.9
ароматерапия	s	0.5
ароматизатор	s	1.5
ароматический	a	3.1
ароматный	a	5
арочный	a	0.9
арсенал	s	12.7
арсенальный	a	0.4
Арсений	s.PROP	5
Арсеньев	s.PROP	2.5
арт	s	1.8
Артамонов	s.PROP	1.8
артачиться	v	0.4
арт-директор	s	1.2
артезианский	a	0.8
артель	s	6.2
артельный	a	1
артельщик	s	0.7
Артем	s.PROP	17.3
артериальный	a	2.8
артерия	s	8.6
артефакт	s	1.1
артикул	s	0.5
артикулировать	v	0.8
артикуляция	s	1
артиллерийский	a	12.6
артиллерист	s	5.9
артиллерия	s	13.7
артист	s	98
артистизм	s	2.2
артистическая	s	0.7
артистически	adv	0.5
артистический	a	6.3
артистично	adv	0.5
артистичность	s	0.6
артистичный	a	1.8
артистка	s	11.6
артобстрел	s	0.5
артподготовка	s	1.1
артрит	s	1.1
Артур	s.PROP	19.5
арфа	s	2.6
архаизм	s	0.4
архаика	s	1.2
архаический	a	2.5
архаичный	a	3.5
архангел	s	3
Архангельск	s.PROP	5.7
архангельский	a	8.9
археолог	s	5.6
археологический	a	3.5
археология	s	2.8
архетип	s	2.6
