id,date,total_death_missing,location,lat,lon,collapsed_region,region,collapsed_cause,cause_of_death
1,6-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
2,12-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
3,14-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
4,16-Jan-2014,1,"near Douglas, Arizona",31.3447,-109.545,US-Mexico Border,US-Mexico Border,Shooting,Shot
5,16-Jan-2014,1,Border between Russia and Estonia,59.1551,27.8586,Europe,Europe,Harsh Conditions,Hyperthermia
6,17-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Shooting,Shot
7,19-Jan-2014,12,Waters near Greece while being towed back to Turkey,37.2832,27.1582,Mediterranean,Mediterranean,Drowning,Drowning
8,22-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
9,24-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
10,24-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
11,25-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
12,28-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
13,29-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
14,29-Jan-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
15,30-Jan-2014,1,"Off the coast of Fort Lauderdale, Florida",26.116,-80.0464,Caribbean,Caribbean,Drowning,Drowning
16,30-Jan-2014,1,France - Calais,50.9355,1.87866,Europe,Europe,Accident,Vehicle Accident
17,6-Feb-2014,15,Ceuta waters,35.8793,-5.36407,Mediterranean,Mediterranean,Shooting,Shot
18,11-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
19,16-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
20,16-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
21,17-Feb-2014,2,Italy waters,34.5645,15.8862,Mediterranean,Mediterranean,Unknown / Other,Unknown
22,17-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
23,18-Feb-2014,1,California-Mexico border near San Diego,32.5543,-117.052,US-Mexico Border,US-Mexico Border,Shooting,Shot
24,20-Feb-2014,8,Dominican Republic,18.4505,-67.7966,Caribbean,Caribbean,Drowning,Drowning
25,20-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
26,21-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
27,25-Feb-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
28,26-Feb-2014,17,Gulf of Aden (left from Djibouti),20.2802,38.5126,Africa,Horn of Africa,Drowning,Drowning
29,26-Feb-2014,1,India,25.1841,88.9055,Asia,South Asia,Shooting,Shot
30,27-Feb-2014,7,Libyan Coast,33.1597,15.1831,Mediterranean,Mediterranean,Drowning,Drowning
31,4-Mar-2014,1,Arizona,31.7892251,-102.4404681,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
32,9-Mar-2014,1,France - Calais (Killed on motorway),50.9365,1.85566,Europe,Europe,Accident,Vehicle Accident
33,11-Mar-2014,44,Gulf of Aden,12.5331,47.9224,Africa,Horn of Africa,Drowning,Drowning
34,11-Mar-2014,1,Mexico,31.6904,-106.425,US-Mexico Border,US-Mexico Border,Unknown / Other,Suicide
35,12-Mar-2014,1,France - Calais (Hit by lorry in port),50.9686,1.8675,Europe,Europe,Accident,Vehicle Accident
36,14-Mar-2014,1,France - Calais (Body found on dock),50.950273,1.848663,Europe,Europe,Unknown / Other,Unknown
37,15-Mar-2014,1,France - Calais (Body found crushed in transporter),50.9688,1.87368,Europe,Europe,Accident,Vehicle Accident
38,15-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
39,15-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
40,17-Mar-2014,1,Mediterranean,34.9797,12.6563,Mediterranean,Mediterranean,Asphyxiation,Asphyxiation
41,18-Mar-2014,9,"Waters near Lesvos, Greece",39.398814,26.493536,Mediterranean,Mediterranean,Drowning,Drowning
42,22-Mar-2014,251,"Lake Albert, Uganda/DRC",1.63236,30.8881,Africa,Sub-Saharan Africa,Drowning,Drowning
43,23-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
44,26-Mar-2014,1,"Comitan, Chiapas, Mexico",16.2299602,-92.1155691,Central America,Central America,Accident,Vehicle Accident
45,26-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
46,26-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
47,30-Mar-2014,1,US - Arizona,34.1014,-110.964,US-Mexico Border,US-Mexico Border,Accident,Fall from border fence
48,30-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
49,30-Mar-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
50,2-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
51,9-Apr-2014,17,"Limpopo River, Zimbabwe",-23.8148,32.4884,Africa,Sub-Saharan Africa,Drowning,Drowning
52,9-Apr-2014,1,Italy waters,35.1092,13.623,Mediterranean,Mediterranean,Unknown / Other,Unknown
53,10-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
54,10-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
55,14-Apr-2014,10,Sudanese-Libyan desert,23.3112,21.8569,Africa,North Africa,Harsh Conditions,Hyperthermia
56,14-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
57,14-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
58,14-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
59,16-Apr-2014,9,Turkey waters - en route to Greece,38.669208,26.630888,Mediterranean,Mediterranean,Drowning,Drowning
60,17-Apr-2014,4,"On la Bestia, near Arriaga, Chiapas, Mexico",16.242196,-93.909862,Central America,Central America,Violence,Violence
61,17-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
62,18-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
63,21-Apr-2014,5,Border China/Vietnam,21.5928,107.493,Asia,Southeast Asia,Shooting,Shot
64,23-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
65,27-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (multiple blunt force injuries)
66,27-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
67,30-Apr-2014,40,Coast of Libya,34.3706,14.1724,Mediterranean,Mediterranean,Drowning,Drowning
68,30-Apr-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
69,1-May-2014,9,"Dominican Republic, near Boca Chica and Juan Dolio",18.3079,-69.5819,Caribbean,Caribbean,Drowning,Drowning
70,1-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
71,2-May-2014,4,Coast of Libya,33.1045,14.3481,Mediterranean,Mediterranean,Drowning,Drowning
72,2-May-2014,1,Calais,50.9513,1.85869,Europe,Europe,Accident,Fall from truck
73,5-May-2014,29,Waters near Greece,37.848433,27.111533,Mediterranean,Mediterranean,Drowning,Drowning
74,6-May-2014,77,Coast of Libya,32.6801,15.9961,Mediterranean,Mediterranean,Drowning,Drowning
75,6-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
76,7-May-2014,1,Mediterranean waters,35.8196,11.7554,Mediterranean,Mediterranean,Unknown / Other,Unknown
77,8-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
78,9-May-2014,46,Desert in southern Algeria,23.5301672,1.8531941,Africa,North Africa,Starvation / Dehydration,"Starvation, Exhaustion"
79,10-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (multiple blunt force injuries)
80,12-May-2014,217,International waters between Libya and Italy,34.7086,15.6665,Mediterranean,Mediterranean,Drowning,Drowning
81,13-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
82,21-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
83,22-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
84,23-May-2014,1,Calais,50.9513,1.85869,Europe,Europe,Accident,Fall from truck
85,23-May-2014,1,Greece,39.5061,20.2655,Mediterranean,Mediterranean,Asphyxiation,Asphyxiation
86,27-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
87,28-May-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
88,30-May-2014,1,Pima County,31.77774062,-112.0780598,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
89,30-May-2014,1,Pima County,31.67494967,-111.9077717,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
90,31-May-2014,62,Gulf of Aden,12.5331,47.9224,Africa,Horn of Africa,Drowning,Drowning
91,1-Jun-2014,1,Pima County,31.85825827,-112.602657,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
92,3-Jun-2014,1,Pima County,31.68429901,-111.7539631,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
93,5-Jun-2014,3,Italian waters,35.358,12.7826,Mediterranean,Mediterranean,Unknown / Other,Unknown
94,6-Jun-2014,1,Pima County,31.82909332,-112.4406086,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
95,8-Jun-2014,4,Italian waters,35.4125,12.3486,Mediterranean,Mediterranean,Drowning,Drowning
96,9-Jun-2014,5,Italian waters,36.4935,13.667,Mediterranean,Mediterranean,Drowning,Drowning
97,9-Jun-2014,1,Pima County,31.86175744,-112.4680745,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
98,9-Jun-2014,1,Pima County,31.90373717,-112.5504719,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
99,10-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
100,10-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
101,12-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
102,12-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
103,12-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
104,12-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
105,13-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
106,14-Jun-2014,10,Between Libya and Sicily,34.2775,14.6338,Mediterranean,Mediterranean,Drowning,Drowning
107,14-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
108,14-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
109,15-Jun-2014,1,Central Med Route - Sicily,35.9061,12.475,Mediterranean,Mediterranean,Unknown / Other,Unknown
110,16-Jun-2014,29,Between North Africa and Canary Islands,28.348645,-12.654538,Africa,North Africa,Drowning,Drowning
111,17-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
112,18-Jun-2014,35,Coast of Malaysia - Strait of Malacca,4.66259,99.5451,Asia,Southeast Asia,Drowning,Drowning
113,18-Jun-2014,4,Morocco/Spain border near Melilla,35.2783,-2.96219,Mediterranean,Mediterranean,Violence,Violence
114,18-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
115,19-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
116,19-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
117,25-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
118,27-Jun-2014,240,"TBC - boat went missing, not recovered",34.6033,16.875,Mediterranean,Mediterranean,Drowning,Drowning
119,28-Jun-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
120,29-Jun-2014,45,Unspecified location between North Africa and Italy. Survivors taken to Pozzallo,36.222841,14.688719,Mediterranean,Mediterranean,Accident,"Crushed, Asphyxiation"
121,29-Jun-2014,6,Unspecified location between North Africa and Italy. Survivors taken to Porto Empedocle in Sicily.,36.1838,12.6233,Mediterranean,Mediterranean,Drowning,Drowning
122,1-Jul-2014,75,"Recued off Sicily; taken to Catania, Sicily",36.4317,15.8313,Mediterranean,Mediterranean,Drowning,Drowning
123,1-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
124,2-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
125,2-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
126,5-Jul-2014,13,Boat drifting in Libyan waters,33.0335,15.293,Mediterranean,Mediterranean,Unknown / Other,Unknown
127,5-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
128,6-Jul-2014,200,Off the coast of Tripoli (capsized boat),32.9615,13.0888,Mediterranean,Mediterranean,Drowning,Drowning
129,7-Jul-2014,1,"Coatzacoalcos, Veracruz, Mexico",18.130861,-94.503962,Central America,Central America,Accident,Train Accident
130,7-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
131,11-Jul-2014,25,Aegean Sea,37.862031,26.921962,Mediterranean,Mediterranean,Drowning,Drowning
132,12-Jul-2014,12,"Bodies found on coast near Tripoli, Libya",32.9511,13.2042,Mediterranean,Mediterranean,Drowning,Drowning
133,13-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
134,14-Jul-2014,110,40 miles off the coast of Libya,33.6564,14.5898,Mediterranean,Mediterranean,Drowning,Drowning
135,15-Jul-2014,20,Off the southwest coast of Malaysia,6.35306,115.291,Asia,Southeast Asia,Drowning,Drowning
136,17-Jul-2014,41,"30 miles off the coast of Tripoli, Libya",33.2423,13.1204,Mediterranean,Mediterranean,Drowning,Drowning
137,17-Jul-2014,3,"Just off the coast of Garabulli, Libya",32.8343,13.7192,Mediterranean,Mediterranean,Drowning,Drowning
138,17-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
139,19-Jul-2014,151,NA,34.5531284,18.0480105,Mediterranean,Mediterranean,Drowning,Drowning
140,19-Jul-2014,55,"off the coast of Kafr el-Sheikh governorate, Egypt",31.5818,30.6711,Mediterranean,Mediterranean,Drowning,Drowning
141,19-Jul-2014,29,Between Libya and Malta,34.5821,14.2163,Mediterranean,Mediterranean,Mixed,"Violence, Asphyxiation, Drowning"
142,19-Jul-2014,3,"Off the Libyan coast, northeast of Tripoli",33.4442,14.2383,Mediterranean,Mediterranean,Drowning,Drowning
143,21-Jul-2014,19,South of Sicily,36.3557,14.0845,Mediterranean,Mediterranean,Drowning,Drowning
144,24-Jul-2014,1,"Abandoned airfield outside Downham Market, England, UK",50.9584,0.175781,Europe,Europe,Accident,Vehicle Accident
145,24-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
146,26-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
147,27-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
148,28-Jul-2014,128,"60 miles off the coast of Al Khums, Libya",34.4666,13.5791,Mediterranean,Mediterranean,Drowning,Drowning
149,28-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
150,30-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Electrocution
151,30-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
152,31-Jul-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
153,31-Jul-2014,1,"Mountains, Iran",37.414959,48.122069,Asia,South Asia,Harsh Conditions,Harsh conditions
154,31-Jul-2014,1,"Unspecified location, Libya",26.163979,11.855727,Africa,North Africa,Violence,Violence
155,3-Aug-2014,1,"Acatlan de Perez Figueroa, Oaxaca, Mexico",18.539117,-96.606006,Central America,Central America,Accident,Train Accident
156,4-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
157,5-Aug-2014,172,50 miles off Libyan coast,33.499179,15.490763,Mediterranean,Mediterranean,Drowning,Drowning
158,5-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
159,5-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
160,16-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
161,18-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
162,21-Aug-2014,1,"Dead body found shipping container in Tilbury docks, Essex, UK",51.4616,0.345211,Europe,Europe,Violence,"Murdered, Asphyxiation"
163,22-Aug-2014,1,Pima County,32.0581183,-111.6235761,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
164,22-Aug-2014,1,Unspecified location between North Africa and Italy. Body brought to Calabria.,34.3134,16.9189,Mediterranean,Mediterranean,Unknown / Other,Unknown
165,23-Aug-2014,1,Pima County,32.0875,-111.92,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
166,24-Aug-2014,251,"Off shores of al-Qarbouli, 50km east of Tripoli",32.9212,13.7659,Mediterranean,Mediterranean,Drowning,Drowning
167,24-Aug-2014,26,Central Med,35.2823,15.8752,Mediterranean,Mediterranean,Drowning,Drowning
168,24-Aug-2014,9,"20 miles east of Hollywood Beach, Florida",25.8709,-79.6756,Caribbean,Caribbean,Drowning,Drowning
169,25-Aug-2014,24,Unspecified location between North Africa and Italy.,34.5671,14.0625,Mediterranean,Mediterranean,Drowning,Drowning
170,25-Aug-2014,1,"Hillsboro Beach, Florida",26.2937,-80.0615,Caribbean,Caribbean,Drowning,Drowning
171,28-Aug-2014,1,Pima County,32.184801,-111.515431,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
172,28-Aug-2014,1,Pima County,32.167365,-111.553883,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown (skeletal remains)
173,29-Aug-2014,42,Tunisian sea near maritime border with Libya,33.5111,11.8652,Mediterranean,Mediterranean,Drowning,Drowning
174,29-Aug-2014,23,Mona passage trying to reach Puerto Rico,18.3459,-67.8186,Caribbean,Caribbean,Drowning,Drowning
175,31-Aug-2014,100,"Off the shore of al-Qarbouli, Libya",32.8879,13.7096,Mediterranean,Mediterranean,Drowning,Drowning
176,31-Aug-2014,64,Mexico (likely),19.1452,-101.074,Central America,Central America,Mixed,Mixed
177,31-Aug-2014,50,"Brooks County, Texas",27.033656,-98.233616,US-Mexico Border,US-Mexico Border,Mixed,Mixed
178,31-Aug-2014,17,Off Mexican coast,23.6244,-86.2866,Caribbean,Caribbean,Mixed,"Drowning, Dehydration"
179,31-Aug-2014,1,"Unspecified location, Libya",27.922369,14.758787,Africa,North Africa,Violence,Violence
180,31-Aug-2014,1,"Sahara Desert, between Agadez, Niger and Tripoli, Libya",22.659193,11.287007,Africa,North Africa,Accident,Vehicle Accident
181,31-Aug-2014,1,"Sahara Desert, between Khartoum, Sudan and Bani Walid, Libya",19.5197871,26.79718801,Africa,North Africa,Harsh Conditions,Hypothermia
182,1-Sep-2014,164,"Off coast of Libya, near Tajoura",33.5048,13.8702,Mediterranean,Mediterranean,Drowning,Drowning
183,1-Sep-2014,43,Off coast of Libya,33.6053,16.9684,Mediterranean,Mediterranean,Drowning,Drowning
184,2-Sep-2014,1,Arizona,31.7892251,-103.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
185,2-Sep-2014,1,Arizona,31.7892251,-104.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
186,5-Sep-2014,1,Arizona,31.7892251,-105.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
187,9-Sep-2014,9,Off the coast of Southern China between Zhuhai and Macao,22.2344,113.643,Asia,East Asia,Drowning,Drowning
188,10-Sep-2014,2,"off the coast of the Yucatan, Mexico",21.897364,-88.384764,Central America,Central America,Drowning,Drowning
189,10-Sep-2014,1,Arizona,31.7892251,-106.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
190,10-Sep-2014,1,Arizona,31.7892251,-107.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
191,11-Sep-2014,1,Arizona,31.7892251,-108.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
192,12-Sep-2014,1,"Train tracks in Izúcar de Matamoros, Puebla, Mexico",18.600776,-98.463359,Central America,Central America,Accident,Train Accident
193,12-Sep-2014,1,Arizona,31.7892251,-109.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
194,14-Sep-2014,1,Canal near Bentsen-Rio Grande Valley State Park in Mission,26.1850517,-98.3798819,US-Mexico Border,US-Mexico Border,Drowning,Drowning
195,14-Sep-2014,1,Arizona,31.7892251,-110.4404681,US-Mexico Border,US-Mexico Border,Harsh Conditions,Hyperthermia
196,14-Sep-2014,1,Arizona,31.7892251,-111.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
197,21-Sep-2014,500,Unspecified location between Libya and Italy,33.9069,14.4141,Mediterranean,Mediterranean,Drowning,Drowning
198,23-Sep-2014,18,300 Miles SE of Malta,34.9853,16.106,Mediterranean,Mediterranean,Drowning,Drowning
199,24-Sep-2014,2,"Syria - Turkey border, at Kobani Tel Shair",36.89090973,38.38090985,Middle East,Middle East,Violence,Killed by landmine blast
200,24-Sep-2014,1,"Syria - Turkey border, at Kobani Tel Shair",36.89501978,38.36271374,Middle East,Middle East,Violence,Killed by landmine blast
201,25-Sep-2014,88,Off coast of Alexandria,31.5253,29.6864,Mediterranean,Mediterranean,Drowning,Drowning
202,25-Sep-2014,1,Arizona,31.7892251,-112.4404681,US-Mexico Border,US-Mexico Border,Unknown / Other,Unknown
203,30-Sep-2014,149,NA,28.8350894,-103.6953621,US-Mexico Border,US-Mexico Border,Mixed,Mixed
204,30-Sep-2014,16,Multiple locations,9.1303782,41.2808577,Africa,Horn of Africa,Mixed,Mixed
205,1-Oct-2014,2,"24 miles south of Miami, Florida",24.5671,-80.321,Caribbean,Caribbean,Drowning,Drowning
206,5-Oct-2014,20,Coast of Libya,31.9224,16.5234,Mediterranean,Mediterranean,Drowning,Drowning
207,6-Oct-2014,1,Between Bosaso and Yemen (Harow),12.5331,47.9224,Africa,Horn of Africa,Drowning,Drowning
208,8-Oct-2014,1,Between Bosaso and Yemen (Muwaisa’a),12.5331,47.9224,Africa,Horn of Africa,Drowning,Drowning
209,11-Oct-2014,1,"Port of Calais, France",50.951314,1.85869,Europe,Europe,Accident,Vehicle Accident
210,12-Oct-2014,8,Strait between Morocco and Spain,35.9858,-5.39635,Mediterranean,Mediterranean,Drowning,Drowning
211,16-Oct-2014,64,Gulf of Aden (departed from Somalia),12.7047,49.4824,Africa,Horn of Africa,Drowning,Drowning
212,17-Oct-2014,95,Off cost of Libya (3 nautical miles off Guarabouli),33.5963,14.6338,Mediterranean,Mediterranean,Drowning,Drowning
213,17-Oct-2014,4,"Thailand, north of Phuket",9.00988,98.2892,Asia,Southeast Asia,Drowning,Drowning
214,17-Oct-2014,3,Not mentioned,35.898,15.4907,Mediterranean,Mediterranean,Harsh Conditions,"Exposure, Harsh conditions"
215,17-Oct-2014,2,"Unspecified location off the coast of Miami Beach, Florida",25.7529,-79.8528,Caribbean,Caribbean,Drowning,Drowning
